location.coordinates.1,location.coordinates.0,valid_utc
26.8742,-80.1012,2019-06-01T20:24:24.026Z
26.8712,-80.0984,2019-06-01T20:24:24.333Z
26.8708,-80.0984,2019-06-01T20:24:24.590Z
26.8712,-80.0973,2019-06-01T20:24:24.883Z
26.8709,-80.0976,2019-06-01T20:24:24.244Z
26.884,-80.0918,2019-06-01T19:32:59.215Z
26.8618,-80.1007,2019-06-01T20:15:55.451Z
26.8866,-80.1137,2019-06-01T20:21:45.916Z
26.8869,-80.1134,2019-06-01T20:21:45.809Z
26.8868,-80.1137,2019-06-01T20:21:45.695Z
26.861,-80.1004,2019-06-01T20:10:47.024Z
26.8871,-80.1137,2019-06-01T20:21:45.583Z
26.8861,-80.1148,2019-06-01T20:21:45.822Z
26.8814,-80.1205,2019-06-01T20:10:47.335Z
26.8875,-80.1177,2019-06-01T20:21:46.230Z
26.8888,-80.1204,2019-06-01T20:21:46.056Z
26.8502,-80.1055,2019-06-01T20:12:06.562Z
26.8498,-80.0944,2019-06-01T20:08:11.930Z
26.8488,-80.105,2019-06-01T20:12:06.754Z
26.8489,-80.1061,2019-06-01T20:12:06.916Z
26.8486,-80.0943,2019-06-01T20:10:02.007Z
26.849,-80.0903,2019-06-01T20:14:13.282Z
26.8573,-80.1283,2019-06-01T20:12:06.521Z
26.8532,-80.0783,2019-06-01T20:16:37.608Z
26.8534,-80.078,2019-06-01T20:16:37.286Z
26.853,-80.0783,2019-06-01T20:16:37.086Z
26.8527,-80.0785,2019-06-01T20:16:37.195Z
26.8537,-80.077,2019-06-01T20:16:37.482Z
26.8571,-80.0732,2019-06-01T20:13:16.042Z
26.8532,-80.0764,2019-06-01T20:16:37.027Z
26.8458,-80.1164,2019-06-01T20:11:20.987Z
26.8467,-80.0847,2019-06-01T20:09:08.331Z
26.8455,-80.1166,2019-06-01T20:11:21.255Z
26.851,-80.077,2019-06-01T20:16:37.564Z
26.8527,-80.0749,2019-06-01T20:08:41.825Z
26.8545,-80.073,2019-06-01T20:16:37.382Z
26.8454,-80.1175,2019-06-01T20:11:21.072Z
26.8526,-80.0747,2019-06-01T20:08:42.272Z
26.8451,-80.1171,2019-06-01T20:11:20.823Z
26.845,-80.1171,2019-06-01T20:11:21.113Z
26.8448,-80.1168,2019-06-01T20:11:20.604Z
26.8538,-80.0731,2019-06-01T20:08:41.766Z
26.8449,-80.1173,2019-06-01T20:11:20.677Z
26.8445,-80.1173,2019-06-01T20:11:20.750Z
26.8443,-80.1173,2019-06-01T20:11:20.519Z
26.8438,-80.0859,2019-06-01T20:09:08.451Z
26.8408,-80.1039,2019-06-01T20:13:16.634Z
26.8546,-80.0702,2019-06-01T20:08:41.938Z
26.8405,-80.1036,2019-06-01T20:13:16.576Z
26.8473,-80.0771,2019-06-01T20:12:06.654Z
26.8689,-80.0618,2019-06-01T19:40:29.730Z
26.8538,-80.0694,2019-06-01T20:08:41.613Z
26.8384,-80.1011,2019-06-01T20:13:16.347Z
26.8419,-80.0822,2019-06-01T20:08:41.055Z
26.8407,-80.0827,2019-06-01T20:09:08.758Z
26.8322,-80.1041,2019-06-01T20:15:55.546Z
26.8318,-80.1023,2019-06-01T20:17:21.096Z
26.831,-80.1012,2019-06-01T20:17:21.618Z
26.831,-80.1009,2019-06-01T20:17:21.206Z
26.8307,-80.1004,2019-06-01T20:16:37.113Z
26.8306,-80.1016,2019-06-01T20:17:21.762Z
26.8303,-80.1022,2019-06-01T20:17:21.069Z
26.8448,-80.0631,2019-06-01T20:15:18.828Z
26.8419,-80.0661,2019-06-01T20:15:19.003Z
26.8331,-80.0811,2019-06-01T20:22:04.839Z
26.8435,-80.0629,2019-06-01T20:15:19.745Z
26.8421,-80.0642,2019-06-01T20:15:19.181Z
26.843,-80.0631,2019-06-01T20:15:19.154Z
26.8429,-80.0631,2019-06-01T20:15:19.475Z
26.8418,-80.0641,2019-06-01T20:15:18.959Z
26.844,-80.0615,2019-06-01T20:15:18.883Z
26.8498,-80.053,2019-06-01T20:10:02.081Z
26.8336,-80.0572,2019-06-01T20:25:29.380Z
26.9226,-80.1413,2019-06-01T19:30:11.710Z
26.833,-80.0577,2019-06-01T20:25:29.178Z
26.833,-80.0577,2019-06-01T20:25:28.992Z
26.8329,-80.0578,2019-06-01T20:25:28.905Z
26.8332,-80.0574,2019-06-01T20:25:28.781Z
26.8327,-80.0579,2019-06-01T20:25:29.091Z
26.8323,-80.0584,2019-06-01T20:25:28.951Z
26.8319,-80.0589,2019-06-01T20:25:28.762Z
26.8329,-80.0576,2019-06-01T20:25:29.037Z
26.8328,-80.0577,2019-06-01T20:25:29.239Z
26.8187,-80.0886,2019-06-01T20:14:13.287Z
26.9228,-80.1416,2019-06-01T19:30:11.965Z
26.8322,-80.0583,2019-06-01T20:25:29.302Z
26.8348,-80.0552,2019-06-01T20:08:00.091Z
26.8323,-80.0577,2019-06-01T20:25:28.796Z
26.9235,-80.1413,2019-06-01T19:30:12.009Z
26.9239,-80.1408,2019-06-01T19:30:11.839Z
26.9236,-80.1416,2019-06-01T19:30:11.647Z
26.8212,-80.0755,2019-06-01T20:17:21.018Z
26.8291,-80.0599,2019-06-01T20:23:20.028Z
26.9237,-80.1434,2019-06-01T19:30:11.920Z
26.8305,-80.0567,2019-06-01T20:25:29.049Z
26.9244,-80.1457,2019-06-01T19:30:12.200Z
26.8273,-80.0577,2019-06-01T20:14:13.354Z
26.8189,-80.0672,2019-06-01T20:24:08.629Z
